EB_id,area,npix,ypix,xpix
f9deb2,0.06,1,152,170
88a8fc,0.03,1,152,170
285ce9,0.13,1,152,170
33b736,0.44,1,151,168
14c8a,0.03,1,152,169
6b41a4,0.14,1,152,169
b69e18,0.01,1,145,171
b10a6b,0.01,1,145,171
379505,0.01,1,145,171
c77657,0.01,1,145,170
71c34a,0.01,1,150,168
94206f,0.07,1,150,169
54dd21,0.03,1,150,175
37444c,0.36,2,-99,-99
25d743,0.04,1,145,170
54e5b6,0.21,1,146,170
11476e,0.21,1,151,174
7b8165,0.15,1,151,169
24593f,0.06,1,150,173
e9743b,0.01,1,148,171
20b333,0.01,1,150,173
906e70,0.04,1,150,172
87f27f,0.05,1,151,172
3171ad,0.02,1,149,170
a25afe,0.03,1,148,169
4327eb,0.08,1,148,168
e5e099,0.02,1,151,171
5fe068,0.02,1,152,169
fad95b,0.19,1,151,169
837d83,0.12,1,152,169
358564,0.02,1,149,167
caefbd,0.02,1,149,167
6e2c3b,0.02,1,151,168
87386,0.01,1,150,172
2e102d,0.01,1,151,175
1192ee,0.06,1,148,172
21e781,0.01,1,152,172
74cd,0.03,1,148,172
cef88a,0.12,1,145,170
1c936d,0.04,1,150,169
e4dec,0.06,1,147,170
305822,0.05,1,146,171
b00ec2,0.01,1,149,172
2cb9bf,0.04,1,149,172
73f9fa,0.25,2,-99,-99
5783fc,0.28,2,-99,-99
c82001,0.03,1,151,173
49e75e,0.02,1,148,171
bab3c5,0.01,1,152,174
43c07e,0.27,1,151,172
f59d98,0.03,1,150,174
2e9c23,0.03,1,150,172
7fc6fa,0.01,1,150,173
508648,0.01,1,151,169
42cefb,0.01,1,150,170
699d8a,0.06,1,152,170
788c2f,0.05,1,151,171
53bb32,0.06,1,148,169
61cdb6,0.39,1,150,171
276a6f,0.04,1,150,170
d0e7b3,0.01,1,149,167
440d84,0.15,1,151,172
9119a3,0.43,1,151,170
f0ab41,0.02,1,152,170
166deb,0.02,1,148,167
e19d1c,0.01,1,149,168
53cd2,0.03,1,149,167
df2ceb,0.01,1,151,169
7a64bc,0.02,1,153,170
60ef77,0.01,1,146,170
616a45,0.05,1,147,172
212336,0.23,2,-99,-99
6e74b2,0.02,1,151,175
e3eac0,0.01,1,150,173
3726ff,0.33,1,147,172
15572f,0.08,1,144,171
28ddb,0.03,1,147,167
4c8cf,0.02,1,148,171
db5b88,0.12,2,-99,-99
373aee,0.02,1,145,171
6ffd7e,0.0,1,151,175
442cca,0.0,1,151,175
9d3bff,0.01,1,147,172
f050f1,0.01,1,150,173
6f37b3,0.02,1,150,173
afa406,0.02,1,148,172
dbcfff,0.04,1,146,170
ac524a,0.28,1,149,172
7a3ff5,0.22,1,145,170
6b0d48,0.11,1,150,172
33cc4f,0.32,1,147,169
567238,0.46,1,147,169
fa9764,0.02,1,147,169
131a10,0.06,1,147,169
1bf875,0.03,1,147,169
1eacb3,0.04,1,148,169
b227d,0.16,1,149,169
76ec01,0.03,1,152,172
e363e4,0.01,1,149,169
386a74,0.07,1,150,170
61676,0.01,1,151,170
946388,0.02,1,148,167
6bb698,0.1,1,151,168
e9cb0e,0.05,1,151,170
130317,0.02,1,148,166
d311d5,0.13,1,151,168
7bf2c8,0.67,2,-99,-99
d3ed51,0.04,1,151,168
3887db,0.01,1,149,166
4e926e,0.08,1,147,172
992825,0.01,1,147,167
bcd5b9,0.01,1,146,171
ce2390,0.01,1,147,169
a09abe,0.02,1,147,170
f24046,0.01,1,152,173
38ae93,0.02,1,150,169
332c5a,0.04,1,151,170
81eed0,1.17,3,-99,-99
4e9c7,0.32,1,148,173
da3f08,0.37,1,147,172
e38376,0.11,1,151,175
42b4f1,0.03,1,146,170
fec0e4,0.01,1,146,169
18ed08,0.02,1,146,170
8b6186,0.04,1,152,170
cbf3f1,0.02,1,152,174
d31256,0.09,1,148,170
13deae,0.01,1,152,173
de0c27,0.11,1,149,171
e736a5,0.02,1,147,169
42d1da,0.08,1,148,170
806e9d,0.24,1,152,173
8b8868,0.06,1,151,172
2842a4,0.06,1,147,169
8c62e4,0.01,1,151,172
86c024,0.02,1,148,169
2354bd,0.03,1,151,171
53a425,0.11,1,148,168
232fc1,0.1,1,150,168
4b09bb,0.41,2,-99,-99
edc3aa,0.02,1,152,169
ababef,0.06,1,148,167
f5e7ae,0.01,1,151,169
39ff6,0.01,1,149,167
1a17c9,0.01,1,146,171
f8e457,0.01,1,148,169
d74c8c,0.01,1,147,167
5654ab,0.01,1,150,171
f70e3d,0.04,1,150,168
db9f0,0.01,1,147,167
69c6c8,0.02,1,149,167
75db4f,0.01,1,150,173
4498b2,0.01,1,151,174
e62d4f,0.01,1,146,169
682b99,0.06,1,146,171
1f9648,0.24,1,145,170
3493ec,0.07,1,146,172
18e082,0.04,1,144,171
1d51cc,0.05,1,147,170
6fb068,0.01,1,151,171
665aff,0.1,1,146,172
32822,0.01,1,150,172
e1f542,0.02,1,150,169
ae54b3,0.07,1,146,171
60064f,0.02,1,148,172
b8c965,0.06,1,151,174
f16b2f,0.09,1,148,167
e1f471,0.01,1,151,169
866d5b,0.18,1,149,171
a0d0ba,0.02,1,147,169
3d9a3b,0.03,1,147,169
49956d,0.05,1,147,168
6fc7bf,0.25,1,152,173
ba1436,0.04,1,148,169
82f068,0.01,1,148,169
35fcf7,0.02,1,151,169
175ee,0.39,1,150,171
2e59fe,0.13,1,150,169
c95e6c,0.02,1,152,170
5d01a8,0.04,1,151,169
58028,0.01,1,151,169
1f473,0.02,1,149,167
e1ade4,0.04,1,151,169
8edbc3,0.11,1,151,168
76578,0.01,1,147,172
